,Symbol,RalatedParty,EndDate,ISExit,Relationship,RegisterAddress,DirectHoldingRatio,IndirectHoldingRatio,Sub_Symbol,Name,is_foreign,is_subsidiary_listed,ind
924,000021,开发科技(新加坡)有限公司,2022-12-31,0,上市公司的子公司,新加坡,,100,,深科技,0,0,贸易、技术服务
927,000021,开发晶照明(厦门)有限公司,2022-12-31,0,上市公司的合营企业,厦门,23.37,1.96,,深科技,0,0,生产
931,000021,智慧能源计量巴西有限公司,2022-12-31,0,上市公司的子公司,巴西,,70,,深科技,0,0,贸易
932,000021,开发能源科技(乌兹)有限公司,2022-12-31,0,上市公司的子公司,乌兹别克斯坦,,70,,深科技,0,0,贸易
933,000021,开发计量(以色列)有限公司,2022-12-31,0,上市公司的子公司,以色列,,70,,深科技,0,0,贸易
934,000021,开发科技(荷兰)有限公司,2022-12-31,0,上市公司的子公司,荷兰,,70,,深科技,0,0,贸易
935,000021,开发科技(日本)有限公司,2022-12-31,0,上市公司的子公司,日本,,100,,深科技,0,0,研发、销售
936,000021,泰中开发科技(泰国)有限公司,2022-12-31,0,上市公司的子公司,泰国,,42,,深科技,0,0,贸易
937,000021,开发计量科技(香港)有限公司,2022-12-31,0,上市公司的子公司,成都,,70,,深科技,0,0,生产
938,000021,成都长城开发科技股份有限公司,2022-12-31,0,上市公司的子公司,成都,70,,,深科技,0,0,从事智能电表等相关电力计量业务
939,000021,深圳鑫顿电子有限公司,2022-12-31,0,上市公司的子公司,深圳,,100,,深科技,0,0,贸易
940,000021,合肥沛顿存储科技有限公司,2022-12-31,0,上市公司的子公司,合肥,,55.88,,深科技,0,0,生产
941,000021,合肥沛顿科技有限公司,2022-12-31,0,上市公司的子公司,合肥,,100,,深科技,0,0,生产
942,000021,沛顿科技(深圳)有限公司,2022-12-31,0,上市公司的子公司,深圳,100,,,深科技,0,0,内存芯片制造及芯片封装、测试等
943,000021,开发科技(马来西亚)有限公司,2022-12-31,0,上市公司的子公司,马来西亚,100,,,深科技,0,0,开发、设计、生产电脑硬盘用线路板等电子部件
944,000021,东莞长城开发科技有限公司,2022-12-31,0,上市公司的子公司,东莞,82.63,17.37,,深科技,0,0,从事电子产品的研发、制造和销售
945,000021,"KaifaTechnologyUSA,Inc.",2022-12-31,0,上市公司的子公司,美国,,100,,深科技,1,0,销售
946,000021,开发科技(英国)有限公司,2022-12-31,0,上市公司的子公司,英国,,70,,深科技,0,0,贸易
949,000021,昂纳科技(深圳)集团股份有限公司,2022-12-31,0,上市公司的联营企业,深圳,17.79,,,深科技,0,0,生产
950,000023,深圳市赋天建筑材料有限公司,,,,,,,,,,,国内贸易代理与销售
951,000023,深圳市天赋安业实业有限公司,,,,,,,,,,,物业管理;非居住房地产租赁
952,000023,深圳市锦庭贸易有限公司,,,,,,,,,,,物业管理;非居住房地产租赁
953,000023,深圳市天地东建混凝土有限公司,2022-12-31,0,上市公司的联营企业,深圳,20,,,ST 深天,0,0,预拌混凝土及混凝土预制件产品的产销
955,000023,深圳市天地砼剂开发有限公司,2022-12-31,0,上市公司的子公司,深圳,100,,,ST 深天,0,0,加工业
956,000023,深圳天地远东混凝土有限公司,2022-12-31,0,上市公司的子公司,深圳,90,,,ST 深天,0,0,混凝土加工与销售
959,000023,深圳市天地混凝土有限公司,2022-12-31,0,上市公司的子公司,深圳,60,,,ST 深天,0,0,混凝土加工与销售
960,000023,深圳市天地石材有限公司,2022-12-31,0,上市公司的子公司,深圳,100,,,ST 深天,0,0,加工业
961,000023,深圳市天地恒大房地产投资管理有限公司,2022-12-31,0,上市公司的子公司,深圳,60,,,ST 深天,0,0,房地产投资开发
962,000023,西安宏福商业管理有限公司,2022-12-31,0,上市公司的子公司,西安,,100,,ST 深天,0,0,物业管理;非居住房地产租赁
